0.07,9.54,-0.45,6.60,0.78,-1.47,0.46,-0.52,0.58
0.10,9.68,-0.18,-0.36,1.02,-0.91,0.46,-0.52,0.58
0.22,9.68,0.23,-7.10,-4.51,-14.78,0.48,-0.51,0.57
0.95,9.58,-0.72,-5.59,0.26,-7.96,0.49,-0.51,0.57
1.41,9.54,-1.04,-5.17,6.82,-7.08,0.50,-0.51,0.59
1.61,9.29,-0.68,1.32,-11.92,-0.83,0.50,-0.50,0.60
0.50,9.44,-0.57,-4.09,4.87,8.65,0.48,-0.51,0.60
0.51,9.63,-1.21,1.85,-0.76,4.81,0.48,-0.49,0.61
0.08,9.69,-0.90,7.07,1.30,9.85,0.45,-0.50,0.60
0.10,14.56,0.45,26.96,-0.89,115.30,0.41,-0.52,0.57
3.79,5.00,-1.91,-2.48,37.17,-16.68,0.23,-0.45,0.56
-3.54,14.98,1.17,-11.01,-83.15,-242.82,0.44,-0.51,0.51
-3.79,9.77,-1.07,5.37,46.38,43.58,0.62,-0.50,0.49
1.22,10.28,-1.34,-16.73,7.24,36.83,0.50,-0.54,0.52
1.01,9.68,-0.76,-0.13,9.56,14.95,0.47,-0.53,0.54
0.32,9.92,-0.82,8.69,6.20,39.74,0.42,-0.53,0.55
5.97,16.05,-2.31,-2.06,-47.96,251.13,0.27,-0.49,0.54
1.79,5.51,1.41,-62.76,-5.40,-157.13,0.16,-0.41,0.54
-6.89,14.87,1.41,37.14,87.65,-194.44,0.49,-0.53,0.58
4.80,11.36,0.33,1.58,14.82,69.60,0.51,-0.54,0.57
1.42,9.90,-1.67,-4.51,6.24,9.36,0.45,-0.53,0.59
1.07,9.44,-1.18,2.72,7.47,22.60,0.44,-0.53,0.59
0.10,10.33,-1.22,16.31,6.77,74.03,0.36,-0.52,0.59
-10.56,14.67,5.13,-34.96,-184.28,236.89,0.16,-0.42,0.62
2.08,7.68,-1.49,20.06,-50.80,-216.35,0.18,-0.42,0.57
-6.52,12.53,-4.14,7.44,-96.03,-126.44,0.50,-0.53,0.39
4.71,9.19,-1.91,-36.95,19.45,55.15,0.45,-0.55,0.44
1.26,9.67,-0.12,-8.50,7.26,11.11,0.40,-0.55,0.48
1.09,9.53,-0.13,8.13,-3.46,13.24,0.39,-0.54,0.48
1.01,11.99,1.14,26.58,-14.31,79.32,0.34,-0.53,0.49
8.14,4.70,-3.34,37.76,18.46,20.23,0.18,-0.44,0.53
-6.33,10.07,-1.94,0.96,-134.80,-110.46,0.34,-0.52,0.57
-1.51,10.01,-1.56,-20.82,-49.18,-93.49,0.54,-0.54,0.56
-1.26,11.23,4.42,11.96,81.03,10.58,0.63,-0.51,0.56
1.80,9.67,-1.32,-3.40,-4.02,4.75,0.62,-0.53,0.57
1.08,9.53,-0.82,6.43,9.19,20.85,0.59,-0.53,0.57
0.83,10.64,-1.17,18.80,2.98,43.72,0.55,-0.53,0.56
-2.20,9.61,-2.77,-26.67,-4.02,145.93,0.38,-0.54,0.55
2.20,9.26,1.66,-44.19,143.88,-160.72,0.36,-0.54,0.55
-3.39,10.72,2.89,31.00,172.17,-61.74,0.51,-0.53,0.60
1.27,9.91,-0.84,7.89,1.73,18.16,0.44,-0.54,0.57
1.57,9.41,-0.91,7.20,3.75,-0.38,0.43,-0.55,0.56
1.42,9.76,-0.91,17.22,13.23,31.34,0.40,-0.54,0.55
-0.29,8.59,-4.50,-21.95,137.74,125.06,0.24,-0.50,0.53
-3.12,8.65,3.40,-31.26,116.17,-89.78,0.22,-0.50,0.47
4.90,12.88,-1.94,-0.40,-4.20,-52.48,0.33,-0.56,0.38
2.21,11.67,-1.26,-11.30,11.50,45.48,0.30,-0.56,0.40
2.49,7.93,1.43,53.77,29.01,-66.15,0.31,-0.55,0.35
-7.18,19.60,-9.03,-15.53,-1.77,67.25,0.44,-0.56,0.27
0.76,9.61,-0.21,-13.66,-4.43,10.72,0.40,-0.58,0.30
1.27,9.30,-0.74,-9.30,1.40,-21.40,0.41,-0.57,0.32
2.22,10.49,-1.33,-6.54,1.15,69.46,0.38,-0.57,0.33
4.62,5.42,3.58,33.41,41.09,2.38,0.19,-0.49,0.37
-5.39,13.95,-1.46,75.90,-68.29,-155.27,0.41,-0.55,0.25
5.37,14.43,2.37,-21.89,32.19,24.36,0.43,-0.55,0.23
1.68,9.64,-0.41,-13.49,5.07,10.66,0.42,-0.56,0.28
0.97,9.76,-0.45,-4.92,2.62,22.61,0.39,-0.57,0.28
2.43,13.14,-0.33,15.37,-8.21,89.79,0.33,-0.54,0.28
5.03,4.95,-2.88,45.89,9.66,-12.70,0.12,-0.41,0.31
-0.59,10.78,-1.47,21.92,-13.29,-154.40,0.25,-0.50,0.34
